,ACCURACY,HAMMING LOSS,PRECISION,TRUE POSITIVE,TRUE NEGATIVE,FALSE POSITIVE,FALSE NEGATIVE,F1-SCORE,AUC,LOG LOSS
ACCURACY,1,1.2,0.6666666667,0.6,2,3,1.5,0.75,0.8571428571,6
HAMMING LOSS,0.8333333333,1,0.5555555556,0.5,1.666666667,2.5,1.25,0.625,0.7142857143,5
PRECISION,1.5,1.8,1,0.9,3,4.5,2.25,1.125,1.285714286,9
TRUE POSITIVE,1.666666667,2,1.111111111,1,3.333333333,5,2.5,1.25,1.428571429,10
TRUE NEGATIVE,0.5,0.6,0.3333333333,0.3,1,1.5,0.75,0.375,0.4285714286,3
FALSE POSITIVE,0.3333333333,0.4,0.2222222222,0.2,0.6666666667,1,0.5,0.25,0.2857142857,2
FALSE NEGATIVE,0.6666666667,0.8,0.4444444444,0.4,1.333333333,2,1,0.5,0.5714285714,4
F1-SCORE,1.333333333,1.6,0.8888888889,0.8,2.666666667,4,2,1,1.142857143,8
AUC,1.166666667,1.4,0.7777777778,0.7,2.333333333,3.5,1.75,0.875,1,7
LOG LOSS,0.1666666667,0.2,0.1111111111,0.1,0.3333333333,0.5,0.25,0.125,0.1428571429,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ACCURACY,6,,,,,,,,,
HAMMING LOSS,5,,,,,,,,,
PRECISION,9,,,,,,,,,
TRUE POSITIVE,10,,,,,,,,,
TRUE NEGATIVE,3,,,,,,,,,
FALSE POSITIVE,2,,,,,,,,,
FALSE NEGATIVE,4,,,,,,,,,
F1-SCORE,8,,,,,,,,,
AUC,7,,,,,,,,,
LOG LOSS,1,,,,,,,,,
